Scenario,Date,PREC,TEMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
0,2023-08-04 15:00:00,0.000000,25.700000,33.000000,10.000000,323.000000,86.840000,122.420000,836.280000,4.510000,179.240000,22.260000
0,2023-08-04 16:00:00,0.000000,25.700000,33.000000,10.000000,323.000000,87.640000,122.690000,836.950000,5.060000,179.570000,24.150000
0,2023-08-04 17:00:00,0.000000,26.000000,31.000000,9.000000,329.000000,88.390000,122.970000,837.660000,5.350000,179.910000,25.130000
0,2023-08-04 18:00:00,0.000000,26.000000,31.000000,9.000000,329.000000,89.010000,123.260000,838.370000,5.850000,180.260000,26.730000
0,2023-08-04 19:00:00,0.000000,26.000000,31.000000,9.000000,329.000000,89.520000,123.540000,839.070000,6.290000,180.600000,28.120000
0,2023-08-04 20:00:00,0.000000,23.900000,37.000000,6.000000,332.000000,89.650000,123.770000,839.640000,5.510000,180.880000,25.670000
0,2023-08-04 21:00:00,0.000000,23.900000,37.000000,6.000000,332.000000,89.750000,124.000000,840.210000,5.590000,181.160000,25.950000
0,2023-08-04 22:00:00,0.000000,23.900000,37.000000,6.000000,332.000000,89.840000,124.000000,840.210000,5.670000,181.160000,26.190000
0,2023-08-04 23:00:00,0.000000,18.100000,56.000000,5.000000,291.000000,89.580000,124.000000,840.210000,5.190000,181.160000,24.620000
0,2023-08-05 00:00:00,0.000000,18.100000,56.000000,5.000000,291.000000,89.340000,124.000000,840.210000,5.010000,181.160000,24.040000
0,2023-08-05 01:00:00,0.000000,18.100000,56.000000,5.000000,291.000000,89.130000,124.000000,840.210000,4.870000,181.160000,23.540000
0,2023-08-05 02:00:00,0.000000,15.200000,70.000000,6.000000,262.000000,88.590000,124.000000,840.210000,4.730000,181.160000,23.090000
0,2023-08-05 03:00:00,0.000000,15.200000,70.000000,6.000000,262.000000,88.120000,124.000000,840.210000,4.420000,181.160000,22.000000
0,2023-08-05 04:00:00,0.000000,15.200000,70.000000,6.000000,262.000000,87.700000,124.000000,840.210000,4.170000,181.160000,21.080000
0,2023-08-05 05:00:00,0.000000,14.500000,76.000000,5.000000,269.000000,87.180000,124.080000,840.490000,3.680000,181.260000,19.270000
0,2023-08-05 06:00:00,0.000000,14.500000,76.000000,5.000000,269.000000,86.730000,124.150000,840.770000,3.450000,181.350000,18.380000
0,2023-08-05 07:00:00,0.000000,14.500000,76.000000,5.000000,269.000000,86.330000,124.230000,841.050000,3.260000,181.450000,17.630000
0,2023-08-05 08:00:00,0.000000,18.700000,63.000000,2.000000,337.000000,86.330000,124.380000,841.620000,2.800000,181.640000,15.750000
0,2023-08-05 09:00:00,0.000000,18.700000,63.000000,2.000000,337.000000,86.330000,124.530000,842.190000,2.800000,181.840000,15.750000
0,2023-08-05 10:00:00,0.000000,18.700000,63.000000,2.000000,337.000000,86.330000,124.680000,842.760000,2.800000,182.030000,15.750000
0,2023-08-05 11:00:00,0.020000,20.500000,60.000000,10.000000,19.000000,86.010000,124.860000,843.440000,4.010000,182.270000,20.530000
0,2023-08-05 12:00:00,0.000000,20.500000,60.000000,10.000000,19.000000,86.010000,125.050000,844.130000,4.010000,182.500000,20.530000
0,2023-08-05 13:00:00,0.000000,20.500000,60.000000,10.000000,19.000000,86.010000,125.230000,844.820000,4.010000,182.740000,20.540000
0,2023-08-05 14:00:00,1.000000,17.300000,85.000000,8.000000,15.000000,72.050000,125.280000,845.030000,1.000000,182.810000,6.710000
0,2023-08-05 15:00:00,0.000000,17.300000,85.000000,8.000000,15.000000,72.490000,125.340000,845.240000,1.020000,182.880000,6.810000
0,2023-08-05 16:00:00,0.000000,17.300000,85.000000,8.000000,15.000000,72.900000,125.400000,845.450000,1.040000,182.950000,6.920000
0,2023-08-05 17:00:00,0.380000,18.100000,85.000000,2.000000,311.000000,68.660000,125.460000,845.670000,0.660000,183.030000,4.450000
0,2023-08-05 18:00:00,0.000000,18.100000,85.000000,2.000000,311.000000,69.120000,125.510000,845.890000,0.670000,183.110000,4.520000
0,2023-08-05 19:00:00,0.000000,18.100000,85.000000,2.000000,311.000000,69.560000,125.570000,846.120000,0.680000,183.180000,4.590000
0,2023-08-05 20:00:00,0.000000,19.100000,75.000000,3.000000,326.000000,70.410000,125.680000,846.510000,0.740000,183.320000,4.970000
0,2023-08-05 21:00:00,0.000000,19.100000,75.000000,3.000000,326.000000,71.200000,125.780000,846.900000,0.760000,183.450000,5.110000
0,2023-08-05 22:00:00,0.000000,19.100000,75.000000,3.000000,326.000000,71.950000,125.780000,846.900000,0.780000,183.450000,5.250000
0,2023-08-05 23:00:00,0.000000,14.500000,96.000000,4.000000,256.000000,71.980000,125.780000,846.900000,0.820000,183.450000,5.520000
0,2023-08-06 00:00:00,0.000000,14.500000,96.000000,4.000000,256.000000,72.020000,125.780000,846.900000,0.820000,183.450000,5.530000
0,2023-08-06 01:00:00,0.000000,14.500000,96.000000,4.000000,256.000000,72.050000,125.780000,846.900000,0.820000,183.450000,5.540000
0,2023-08-06 02:00:00,0.000000,12.600000,99.000000,6.000000,273.000000,72.050000,125.780000,846.900000,0.910000,183.450000,6.110000
0,2023-08-06 03:00:00,0.000000,12.600000,99.000000,6.000000,273.000000,72.050000,125.780000,846.900000,0.910000,183.450000,6.110000
0,2023-08-06 04:00:00,0.000000,12.600000,99.000000,6.000000,273.000000,72.050000,125.780000,846.900000,0.910000,183.450000,6.110000
0,2023-08-06 05:00:00,0.000000,11.900000,98.000000,5.000000,306.000000,72.050000,125.790000,846.910000,0.860000,183.460000,5.820000
0,2023-08-06 06:00:00,0.000000,11.900000,98.000000,5.000000,306.000000,72.060000,125.790000,846.920000,0.860000,183.460000,5.820000
0,2023-08-06 07:00:00,0.000000,11.900000,98.000000,5.000000,306.000000,72.060000,125.790000,846.930000,0.860000,183.460000,5.820000
0,2023-08-06 08:00:00,0.000000,16.600000,75.000000,3.000000,31.000000,72.680000,125.850000,847.110000,0.800000,183.540000,5.400000
0,2023-08-06 09:00:00,0.000000,16.600000,75.000000,3.000000,31.000000,73.260000,125.910000,847.280000,0.820000,183.610000,5.530000
0,2023-08-06 10:00:00,0.000000,16.600000,75.000000,3.000000,31.000000,73.810000,125.970000,847.460000,0.840000,183.680000,5.660000
0,2023-08-06 11:00:00,0.000000,20.900000,50.000000,7.000000,74.000000,75.410000,126.120000,847.920000,1.110000,183.870000,7.390000
0,2023-08-06 12:00:00,0.000000,20.900000,50.000000,7.000000,74.000000,76.830000,126.280000,848.370000,1.220000,184.060000,8.040000
0,2023-08-06 13:00:00,0.000000,20.900000,50.000000,7.000000,74.000000,78.110000,126.430000,848.830000,1.350000,184.250000,8.770000
0,2023-08-06 14:00:00,0.000000,22.600000,38.000000,9.000000,64.000000,79.810000,126.640000,849.460000,1.750000,184.510000,10.920000
0,2023-08-06 15:00:00,0.000000,22.600000,38.000000,9.000000,64.000000,81.280000,126.850000,850.090000,2.060000,184.770000,12.430000
0,2023-08-06 16:00:00,0.000000,22.600000,38.000000,9.000000,64.000000,82.550000,127.060000,850.720000,2.400000,185.040000,14.020000
0,2023-08-06 17:00:00,0.000000,22.600000,36.000000,11.000000,66.000000,83.750000,127.280000,851.370000,3.100000,185.310000,17.040000
0,2023-08-06 18:00:00,0.000000,22.600000,36.000000,11.000000,66.000000,84.780000,127.500000,852.020000,3.550000,185.580000,18.870000
0,2023-08-06 19:00:00,0.000000,22.600000,36.000000,11.000000,66.000000,85.640000,127.720000,852.670000,4.010000,185.840000,20.590000
0,2023-08-06 20:00:00,0.000000,20.200000,43.000000,10.000000,68.000000,86.060000,127.890000,853.170000,4.040000,186.050000,20.700000
0,2023-08-06 21:00:00,0.000000,20.200000,43.000000,10.000000,68.000000,86.410000,128.050000,853.670000,4.240000,186.260000,21.460000
0,2023-08-06 22:00:00,0.000000,20.200000,43.000000,10.000000,68.000000,86.720000,128.050000,853.670000,4.430000,186.260000,22.140000
0,2023-08-06 23:00:00,0.000000,14.500000,64.000000,7.000000,70.000000,86.590000,128.050000,853.670000,3.740000,186.260000,19.600000
0,2023-08-07 00:00:00,0.000000,14.500000,64.000000,7.000000,70.000000,86.480000,128.050000,853.670000,3.680000,186.260000,19.380000
0,2023-08-07 01:00:00,0.000000,14.500000,64.000000,7.000000,70.000000,86.380000,128.050000,853.670000,3.630000,186.260000,19.180000
